Area Name,Area Type,Year,Labor Force,Employment,Unemployment,Unemployment Rate,Average Monthly Employment,Total Wages (All Workers),Average Weekly Wages,Establishments,Total Expenditures,Estimated Population,Expenditures Per Capita
California,State,2008.0,18179900.0,16856100.0,1323800.0,7.3,49887.5,1026585115.67,1002.42,4133.49,55531215307.0,37224937.0,118561.0
Alameda County,County,2008.0,756800.0,709600.0,47200.0,6.2,3753.33,87598898.76,1057.41,293.84,1944733831.0,1543000.0,1260.0
Alpine County,County,2008.0,470.0,420.0,50.0,10.5,90.47,1221728.72,655.82,8.55,16252352.0,1222.0,13300.0
Amador County,County,2008.0,17810.0,16430.0,1370.0,7.7,275.08,3943302.6,634.82,29.38,65445833.0,37943.0,1725.0
Butte County,County,2008.0,102900.0,94100.0,8700.0,8.5,745.64,9829321.03,664.24,85.19,337211352.0,220407.0,1530.0
Calaveras County,County,2008.0,20630.0,18840.0,1800.0,8.7,206.16,2538282.51,627.73,33.61,79546543.0,46127.0,1725.0
Colusa County,County,2008.0,10500.0,9050.0,1460.0,13.9,289.0,3769605.65,629.49,33.58,48570645.0,21910.0,2217.0
Contra Costa County,County,2008.0,524000.0,491300.0,32700.0,6.2,2310.57,51125555.37,1030.73,209.66,1887446238.0,1051674.0,1795.0
Del Norte County,County,2008.0,11370.0,10360.0,1010.0,8.8,287.38,3832862.38,598.66,27.96,56265599.0,29419.0,1913.0
El Dorado County,County,2008.0,90600.0,84300.0,6400.0,7.0,588.24,9232035.59,739.99,62.48,300573204.0,179722.0,1672.0
Fresno County,County,2008.0,429900.0,384400.0,45500.0,10.6,2353.64,33525625.65,747.01,171.7,1270148662.0,931098.0,1364.0
Glenn County,County,2008.0,12190.0,10910.0,1280.0,10.5,235.44,2981293.38,593.8,34.43,70367378.0,29195.0,2410.0
Humboldt County,County,2008.0,60000.0,55600.0,4400.0,7.3,539.38,7022537.42,644.8,63.69,226215726.0,132821.0,1703.0
Imperial County,County,2008.0,72500.0,56100.0,16400.0,22.6,759.6,9768163.97,673.75,72.96,247313372.0,176158.0,1404.0
Inyo County,County,2008.0,9090.0,8490.0,600.0,6.6,224.42,3074114.64,644.18,24.64,62011250.0,18152.0,3416.0
Kern County,County,2008.0,359300.0,323900.0,35400.0,9.9,2102.7,32930659.25,764.18,122.98,1526340679.0,817517.0,1867.0
Kings County,County,2008.0,58800.0,52500.0,6200.0,10.6,645.13,8777367.8,615.3,50.85,177741648.0,154434.0,1151.0
Lake County,County,2008.0,24540.0,21920.0,2620.0,10.7,297.9,3815314.37,586.31,50.42,117582534.0,64059.0,1836.0
Lassen County,County,2008.0,12830.0,11600.0,1230.0,9.6,277.87,4449180.21,641.82,22.65,59973473.0,35757.0,1677.0
Los Angeles County,County,2008.0,4923900.0,4553000.0,370900.0,7.5,16767.94,344280980.95,1013.71,1682.53,16100171140.0,10363850.0,1553.0
Madera County,County,2008.0,65100.0,58900.0,6200.0,9.5,661.82,8803808.43,632.98,54.5,180503001.0,150887.0,1196.0
Marin County,County,2008.0,132300.0,126000.0,6300.0,4.7,995.64,22245467.65,1077.91,110.45,448383574.0,257406.0,1742.0
Mariposa County,County,2008.0,9280.0,8580.0,700.0,7.6,251.05,2985929.83,635.81,21.85,50312681.0,18406.0,2733.0
Mendocino County,County,2008.0,43230.0,40240.0,2990.0,6.9,414.75,5370719.79,621.07,58.86,184573118.0,90163.0,2047.0
Merced County,County,2008.0,102200.0,89300.0,12900.0,12.7,875.83,11400893.88,603.02,71.38,370634095.0,255250.0,1452.0
Modoc County,County,2008.0,3940.0,3560.0,380.0,9.7,131.08,1684990.57,601.78,19.38,40172192.0,9702.0,4141.0
Mono County,County,2008.0,8610.0,8100.0,510.0,5.9,311.2,3807879.82,706.7,26.53,49669127.0,13759.0,3610.0
Monterey County,County,2008.0,212200.0,194200.0,18000.0,8.5,1402.47,21980711.79,857.7,106.03,733315546.0,428549.0,1711.0
Napa County,County,2008.0,75600.0,71700.0,3900.0,5.1,834.32,14793813.14,849.45,64.72,226425921.0,136704.0,1656.0
Nevada County,County,2008.0,50380.0,47050.0,3330.0,6.6,406.03,6067092.48,702.35,52.36,138521570.0,99186.0,1397.0
Orange County,County,2008.0,1616300.0,1530100.0,86100.0,5.3,7171.81,147976736.18,1016.47,480.97,3680914588.0,3121251.0,1179.0
Placer County,County,2008.0,177100.0,165500.0,11500.0,6.5,1174.42,19864039.51,799.6,98.49,482768791.0,333401.0,1448.0
Plumas County,County,2008.0,9820.0,8780.0,1040.0,10.6,181.95,2532534.57,547.84,27.07,57957865.0,20917.0,2771.0
Riverside County,County,2008.0,912000.0,833600.0,78500.0,8.6,3527.43,52695481.16,777.32,268.71,3116995532.0,2088322.0,1493.0
Sacramento County,County,2008.0,679700.0,630500.0,49300.0,7.2,3760.84,75778131.5,903.27,277.02,2673733820.0,1424415.0,1877.0
San Benito County,County,2008.0,24900.0,22400.0,2400.0,9.7,345.46,4812017.63,685.17,34.25,77753794.0,57784.0,1346.0
San Bernardino County,County,2008.0,862600.0,793100.0,69500.0,8.1,3491.02,54336110.99,776.95,226.53,2773066348.0,2055766.0,1349.0
San Diego County,County,2008.0,1546600.0,1453000.0,93600.0,6.1,6243.83,122221236.67,931.51,465.52,3533471472.0,3146274.0,1123.0
San Francisco County,County,2008.0,457200.0,433100.0,24100.0,5.3,3599.7,108073978.48,1255.41,342.0,2420077983.4,1307601.78,4678.16
San Joaquin County,County,2008.0,293000.0,262300.0,30700.0,10.5,1726.89,26828218.29,764.68,125.08,1082152708.0,685660.0,1578.0
San Luis Obispo County,County,2008.0,136500.0,128600.0,7900.0,5.8,910.09,13502870.48,727.0,87.27,401477093.0,269337.0,1491.0
San Mateo County,County,2008.0,372500.0,354300.0,18300.0,4.9,2381.15,67761872.5,1158.1,170.5,1086280931.0,739469.0,1469.0
Santa Barbara County,County,2008.0,218200.0,206200.0,12000.0,5.5,1360.46,22820072.75,909.42,110.18,721623571.0,428655.0,1683.0
Santa Clara County,County,2008.0,869300.0,816900.0,52500.0,6.0,5228.73,169566560.25,1180.52,346.91,3274025084.0,1837075.0,1782.0
Santa Cruz County,County,2008.0,146200.0,135400.0,10800.0,7.4,867.5,13933005.43,797.09,88.46,402408708.0,266519.0,1510.0
Shasta County,County,2008.0,82600.0,74300.0,8300.0,10.1,691.47,9689140.24,692.27,77.72,262133009.0,182236.0,1438.0
Sierra County,County,2008.0,1590.0,1420.0,170.0,10.6,65.57,842678.93,570.2,13.17,20600604.0,3380.0,6095.0
Siskiyou County,County,2008.0,19210.0,17250.0,1970.0,10.2,276.25,3363647.06,558.37,36.56,97088898.0,45971.0,2112.0
Solano County,County,2008.0,211200.0,196600.0,14600.0,6.9,1151.08,20315711.85,832.61,85.59,570313531.0,426757.0,1336.0
Sonoma County,County,2008.0,259800.0,244700.0,15000.0,5.8,1321.21,22730040.98,868.13,135.07,815730200.0,484470.0,1684.0
Stanislaus County,County,2008.0,231800.0,206100.0,25800.0,11.1,1410.02,21077535.96,711.97,107.75,745416414.0,525903.0,1417.0
Sutter County,County,2008.0,41100.0,36000.0,5100.0,12.4,437.19,5713007.12,665.74,47.97,134989752.0,95878.0,1408.0
Tehama County,County,2008.0,25170.0,22840.0,2330.0,9.2,313.48,4024002.23,568.62,35.36,103671709.0,62419.0,1661.0
Trinity County,County,2008.0,4850.0,4230.0,620.0,12.8,121.77,1471943.71,555.44,20.51,52144424.0,13966.0,3734.0
Tulare County,County,2008.0,199000.0,177400.0,21600.0,10.9,1375.93,17006194.02,652.93,90.28,636667845.0,435254.0,1463.0
Tuolumne County,County,2008.0,25780.0,23710.0,2070.0,8.0,326.8,4664869.72,673.86,35.5,120861715.0,56799.0,2128.0
Ventura County,County,2008.0,429000.0,401900.0,27100.0,6.3,2007.28,36383063.92,896.58,152.09,1177163387.0,831587.0,1416.0
Yolo County,County,2008.0,98300.0,91000.0,7300.0,7.4,865.77,14283101.64,795.02,68.65,268055788.0,199066.0,1347.0
Yuba County,County,2008.0,27700.0,24400.0,3300.0,12.0,348.74,5340304.67,613.69,34.07,145325442.0,71929.0,2020.0
California,State,2009.0,18306000.0,16193100.0,2112800.0,11.5,47122.04,971885433.12,1007.54,4184.5,56651913133.0,37447128.0,118797.0
Alameda County,County,2009.0,764600.0,682800.0,81800.0,10.7,3596.89,84005495.9,1052.43,304.08,2031238550.0,1556657.0,1305.0
Alpine County,County,2009.0,450.0,380.0,70.0,14.7,64.04,913343.27,716.04,9.81,15928407.0,1201.0,13263.0
Amador County,County,2009.0,17910.0,15780.0,2130.0,11.9,263.04,3697789.88,600.11,27.79,61467665.0,38080.0,1614.0
Butte County,County,2009.0,104300.0,91000.0,13300.0,12.8,721.73,9700278.0,664.37,81.53,351885090.0,220748.0,1594.0
Calaveras County,County,2009.0,20460.0,17560.0,2900.0,14.2,183.3,2296041.46,600.01,32.57,78327109.0,45987.0,1703.0
Colusa County,County,2009.0,11610.0,9490.0,2120.0,18.3,280.21,3721319.31,643.06,30.4,45788350.0,21997.0,2082.0
Contra Costa County,County,2009.0,527200.0,472500.0,54700.0,10.4,2249.8,50134426.26,1017.4,216.02,1865767496.0,1060435.0,1759.0
Del Norte County,County,2009.0,11740.0,10300.0,1440.0,12.3,277.56,3696387.07,614.56,28.71,60008250.0,29547.0,2031.0
El Dorado County,County,2009.0,92100.0,81700.0,10400.0,11.3,556.29,8774164.54,740.45,64.33,285550953.0,180185.0,1585.0
Fresno County,County,2009.0,437000.0,370300.0,66700.0,15.3,2238.64,32242615.08,748.6,172.77,1272148945.0,942298.0,1350.0
Glenn County,County,2009.0,12660.0,10800.0,1860.0,14.7,235.28,3045501.61,606.78,34.95,70075785.0,29239.0,2397.0
Humboldt County,County,2009.0,61100.0,54300.0,6800.0,11.1,522.77,6733538.3,642.66,62.82,242677262.0,132755.0,1828.0
Imperial County,County,2009.0,76600.0,54900.0,21700.0,28.3,714.14,9627624.39,674.4,73.79,254440145.0,179254.0,1419.0
Inyo County,County,2009.0,9430.0,8550.0,880.0,9.3,232.37,3222400.34,634.12,24.46,61936597.0,18049.0,3432.0
Kern County,County,2009.0,365100.0,311700.0,53400.0,14.6,2038.43,32238185.05,764.38,123.02,1542072859.0,827173.0,1864.0
Kings County,County,2009.0,60900.0,51900.0,9000.0,14.8,623.94,8588122.51,616.14,51.51,186145923.0,154743.0,1203.0
Lake County,County,2009.0,25550.0,21560.0,3990.0,15.6,315.6,4039841.19,601.28,54.79,121641662.0,64025.0,1900.0
Lassen County,County,2009.0,13640.0,11890.0,1750.0,12.8,283.64,4441636.29,644.86,21.58,62453391.0,35550.0,1757.0
Los Angeles County,County,2009.0,4937000.0,4357100.0,579800.0,11.7,15816.76,323658982.39,1008.59,1694.78,16851720536.0,10393185.0,1621.0
Madera County,County,2009.0,66900.0,57600.0,9300.0,13.9,643.07,8653336.73,639.14,53.47,182178177.0,152331.0,1196.0
Marin County,County,2009.0,132400.0,122000.0,10400.0,7.8,945.86,20921370.07,1099.68,110.09,438437352.0,258618.0,1695.0
Mariposa County,County,2009.0,9440.0,8430.0,1010.0,10.7,254.02,3147095.86,656.39,23.06,54409302.0,18306.0,2972.0
Mendocino County,County,2009.0,43510.0,38950.0,4560.0,10.5,393.14,5066219.63,625.6,56.95,191879909.0,90206.0,2127.0
Merced County,County,2009.0,106200.0,87900.0,18300.0,17.3,877.68,11680169.49,622.4,73.5,389557106.0,256450.0,1519.0
Modoc County,County,2009.0,4070.0,3550.0,510.0,12.6,126.07,1629293.27,589.78,19.16,43774672.0,9698.0,4514.0
Mono County,County,2009.0,8770.0,7970.0,800.0,9.2,302.59,3657319.92,683.13,26.65,57600896.0,13504.0,4265.0
Monterey County,County,2009.0,216500.0,190600.0,25900.0,12.0,1362.78,21321701.43,857.15,107.81,814173685.0,431892.0,1885.0
Napa County,County,2009.0,75900.0,69200.0,6600.0,8.7,813.49,14321764.12,852.91,66.87,230336267.0,137571.0,1674.0
Nevada County,County,2009.0,50620.0,45200.0,5420.0,10.7,379.96,5738692.12,694.62,51.43,146326164.0,98718.0,1482.0
Orange County,County,2009.0,1595700.0,1451500.0,144200.0,9.0,6662.47,137054512.58,1005.72,483.37,3326887750.0,3139017.0,1060.0
Placer County,County,2009.0,180600.0,161400.0,19200.0,10.6,1133.45,19833732.79,832.57,101.74,542081892.0,339577.0,1596.0
Plumas County,County,2009.0,10090.0,8470.0,1610.0,16.0,176.89,2438702.65,583.22,28.47,53577796.0,20632.0,2597.0
Riverside County,County,2009.0,921400.0,795700.0,125700.0,13.6,3240.2,48561555.66,783.82,257.5,3232432280.0,2107653.0,1534.0
Sacramento County,County,2009.0,684600.0,606000.0,78600.0,11.5,3612.15,72951640.51,907.31,277.81,2725078853.0,1433187.0,1901.0
San Benito County,County,2009.0,25000.0,21400.0,3600.0,14.5,315.05,4433561.94,676.21,33.4,73915397.0,58016.0,1274.0
San Bernardino County,County,2009.0,862800.0,749000.0,113800.0,13.2,3266.39,51208593.1,779.34,229.17,2848120030.0,2060950.0,1382.0
San Diego County,County,2009.0,1561200.0,1408200.0,153000.0,9.8,5941.56,116601223.31,928.89,468.7,3604194866.0,3173407.0,1136.0
San Francisco County,County,2009.0,461300.0,419500.0,41800.0,9.1,3449.07,99963155.7,1244.15,350.2,2420077983.4,1307601.78,4678.16
San Joaquin County,County,2009.0,299900.0,253300.0,46600.0,15.5,1638.37,25575611.91,774.21,123.53,1086751021.0,689480.0,1576.0
San Luis Obispo County,County,2009.0,136900.0,124400.0,12600.0,9.2,868.11,13168517.88,726.71,87.5,400698005.0,270429.0,1482.0
San Mateo County,County,2009.0,375600.0,343500.0,32200.0,8.6,2270.41,66702339.45,1138.94,171.61,1130232085.0,745858.0,1515.0
Santa Barbara County,County,2009.0,220800.0,201800.0,19000.0,8.6,1306.92,22163196.86,906.88,111.42,700808369.0,431312.0,1625.0
Santa Clara County,County,2009.0,879300.0,782300.0,97000.0,11.0,4982.52,160315035.73,1152.6,357.62,3326938594.0,1857621.0,1791.0
Santa Cruz County,County,2009.0,148400.0,131300.0,17100.0,11.5,849.06,13388110.8,795.06,90.77,391884581.0,268637.0,1459.0
Shasta County,County,2009.0,84500.0,71900.0,12600.0,14.9,655.93,9273629.7,696.72,69.48,260224057.0,183023.0,1422.0
Sierra County,County,2009.0,1610.0,1360.0,250.0,15.5,63.53,832593.59,557.89,12.77,17495437.0,3358.0,5210.0
Siskiyou County,County,2009.0,19760.0,16830.0,2930.0,14.8,261.34,3186468.83,548.58,36.79,106287709.0,45973.0,2312.0
Solano County,County,2009.0,215600.0,192200.0,23400.0,10.8,1096.89,20378863.25,841.69,84.51,628101067.0,426729.0,1472.0
Sonoma County,County,2009.0,257700.0,232400.0,25300.0,9.8,1262.76,21604925.45,858.6,138.1,772827431.0,486630.0,1588.0
Stanislaus County,County,2009.0,236200.0,198100.0,38100.0,16.1,1335.46,20294653.1,717.46,107.95,739718254.0,526383.0,1405.0
Sutter County,County,2009.0,42200.0,35000.0,7200.0,17.1,439.26,5849355.11,658.39,51.94,143898139.0,96554.0,1490.0
Tehama County,County,2009.0,25510.0,21880.0,3620.0,14.2,303.8,3909742.23,582.36,36.36,100212144.0,62836.0,1595.0
Trinity County,County,2009.0,5020.0,4150.0,880.0,17.4,113.0,1288222.21,540.76,19.62,44795369.0,13959.0,3209.0
Tulare County,County,2009.0,204600.0,173000.0,31600.0,15.4,1336.33,16493493.9,654.25,92.2,665896112.0,441481.0,1508.0
Tuolumne County,County,2009.0,25870.0,22590.0,3280.0,12.7,294.19,4144913.68,641.38,34.48,117865863.0,56335.0,2092.0
Ventura County,County,2009.0,432200.0,388800.0,43500.0,10.1,1932.71,35532510.84,903.15,156.26,1206053668.0,836080.0,1443.0
Yolo County,County,2009.0,99200.0,87900.0,11400.0,11.5,843.81,13931370.53,802.04,71.87,266908271.0,200709.0,1330.0
Yuba County,County,2009.0,28600.0,23600.0,5000.0,17.5,343.87,5349764.68,624.65,36.96,128079588.0,72900.0,1757.0
California,State,2010.0,18370500.0,16078500.0,2292100.0,12.5,46218.63,983754768.29,1032.6,4130.84,55704071632.0,37791995.0,115887.0
Alameda County,County,2010.0,782700.0,695300.0,87300.0,11.2,3504.63,85273469.28,1092.35,305.93,2083268145.0,1574857.0,1323.0
Alpine County,County,2010.0,540.0,470.0,70.0,13.1,54.73,824993.73,680.21,12.78,14578603.0,1189.0,12261.0
Amador County,County,2010.0,15520.0,13290.0,2230.0,14.4,281.98,3926420.87,619.84,29.62,61056979.0,38022.0,1606.0
Butte County,County,2010.0,102700.0,88100.0,14600.0,14.2,718.36,9791743.54,679.56,86.89,345569828.0,221768.0,1558.0
Calaveras County,County,2010.0,21050.0,17930.0,3110.0,14.8,184.62,2355681.73,635.51,32.18,70766481.0,45870.0,1543.0
Colusa County,County,2010.0,11560.0,9090.0,2460.0,21.3,293.8,4215685.04,653.43,30.42,46636818.0,22206.0,2100.0
Contra Costa County,County,2010.0,525700.0,466700.0,59000.0,11.2,2214.06,50437052.01,1041.1,212.59,1805784477.0,1073055.0,1683.0
Del Norte County,County,2010.0,10940.0,9460.0,1480.0,13.5,272.09,3665130.68,602.77,29.9,55408451.0,29673.0,1867.0
El Dorado County,County,2010.0,91200.0,79800.0,11400.0,12.5,561.04,8786486.02,767.51,63.36,268680830.0,182019.0,1476.0
Fresno County,County,2010.0,440600.0,365300.0,75300.0,17.1,2189.43,31574286.75,762.78,179.11,1195960511.0,953761.0,1254.0
Glenn County,County,2010.0,13240.0,11150.0,2090.0,15.8,248.96,3242924.61,625.0,38.36,68744257.0,29434.0,2336.0
Humboldt County,County,2010.0,66100.0,58900.0,7100.0,10.8,514.9,6813830.82,673.74,61.87,233685993.0,133400.0,1752.0
Imperial County,County,2010.0,79100.0,55800.0,23300.0,29.4,756.21,10395879.25,675.87,76.46,261770616.0,183029.0,1430.0
Inyo County,County,2010.0,9760.0,8780.0,970.0,10.0,232.45,3295585.2,658.25,22.46,61731395.0,18110.0,3409.0
Kern County,County,2010.0,372200.0,312600.0,59700.0,16.0,1978.88,32224756.72,779.02,120.77,1533701063.0,839587.0,1827.0
Kings County,County,2010.0,59600.0,49700.0,9800.0,16.5,642.36,8970355.81,651.36,52.78,184865685.0,156289.0,1183.0
Lake County,County,2010.0,29900.0,25280.0,4620.0,15.5,313.16,4100220.8,629.23,55.54,118868288.0,64053.0,1856.0
Lassen County,County,2010.0,12120.0,10370.0,1740.0,14.4,280.95,4573695.9,620.24,20.49,57188664.0,35889.0,1593.0
Los Angeles County,County,2010.0,4940700.0,4318700.0,622000.0,12.6,15506.76,327767697.15,1051.39,1687.14,16862384547.0,10441080.0,1615.0
Madera County,County,2010.0,61700.0,51200.0,10500.0,17.0,644.85,8722392.06,648.26,61.93,180527354.0,153655.0,1175.0
Marin County,County,2010.0,133000.0,122300.0,10700.0,8.1,945.73,21107913.91,1097.16,111.0,416192399.0,260651.0,1597.0
Mariposa County,County,2010.0,8720.0,7560.0,1160.0,13.3,286.15,3583337.09,661.16,24.38,57650698.0,18192.0,3169.0
Mendocino County,County,2010.0,41610.0,36680.0,4940.0,11.9,377.49,4906307.02,650.43,52.03,195011288.0,90289.0,2160.0
Merced County,County,2010.0,113900.0,93000.0,20900.0,18.4,872.27,11746508.89,617.47,73.63,383996571.0,258495.0,1486.0
Modoc County,County,2010.0,3820.0,3230.0,590.0,15.5,126.89,1656005.48,609.11,19.25,43003201.0,9777.0,4398.0
Mono County,County,2010.0,8890.0,7960.0,930.0,10.4,284.09,3444625.92,724.99,24.52,58926582.0,13617.0,4327.0
Monterey County,County,2010.0,216000.0,187900.0,28200.0,13.0,1377.13,21622119.05,853.75,108.25,778942895.0,435878.0,1787.0
Napa County,County,2010.0,70200.0,62800.0,7400.0,10.6,804.87,14155916.76,847.3,66.69,228294070.0,138917.0,1643.0
Nevada County,County,2010.0,48940.0,43070.0,5870.0,12.0,374.85,5712929.21,699.32,51.28,143845893.0,98680.0,1458.0
Orange County,County,2010.0,1537700.0,1383900.0,153800.0,10.0,6543.43,137937022.13,1028.94,480.72,3007166924.0,3166461.0,950.0
Placer County,County,2010.0,173400.0,152800.0,20600.0,11.9,1116.76,19746808.46,851.42,100.37,512384751.0,347102.0,1476.0
Plumas County,County,2010.0,9170.0,7460.0,1710.0,18.7,177.86,2500512.48,555.6,26.74,52069533.0,20428.0,2549.0
Riverside County,County,2010.0,977800.0,839100.0,138600.0,14.2,3077.25,46030520.54,783.38,260.05,3232475481.0,2139535.0,1511.0
Sacramento County,County,2010.0,683800.0,595500.0,88400.0,12.9,3501.53,71575562.22,929.99,284.52,2370413029.0,1445327.0,1640.0
San Benito County,County,2010.0,28000.0,23600.0,4300.0,15.5,298.67,4194813.14,670.54,35.03,78449387.0,58388.0,1344.0
San Bernardino County,County,2010.0,891400.0,767900.0,123500.0,13.9,3200.16,50936506.13,798.06,228.15,2864224734.0,2073149.0,1382.0
San Diego County,County,2010.0,1515900.0,1348800.0,167000.0,11.0,5993.61,120806531.86,960.13,474.55,3493697627.0,3224432.0,1084.0
San Francisco County,County,2010.0,485800.0,441600.0,44200.0,9.1,3460.06,104643643.92,1289.09,361.95,2420077983.4,1307601.78,4678.16
San Joaquin County,County,2010.0,312100.0,259300.0,52800.0,16.9,1588.04,25026697.71,801.04,123.37,1054635741.0,694293.0,1519.0
San Luis Obispo County,County,2010.0,133600.0,119900.0,13700.0,10.2,877.45,13082691.38,740.5,87.54,426115728.0,273231.0,1560.0
San Mateo County,County,2010.0,392900.0,359200.0,33600.0,8.6,2197.73,64202261.91,1185.81,168.19,1134440062.0,754285.0,1504.0
Santa Barbara County,County,2010.0,212300.0,191200.0,21100.0,9.9,1261.73,21872234.94,891.44,108.29,709798271.0,434481.0,1634.0
Santa Clara County,County,2010.0,926900.0,828000.0,98900.0,10.7,4958.26,177604793.82,1206.66,360.25,3440872808.0,1880876.0,1829.0
Santa Cruz County,County,2010.0,141900.0,122600.0,19300.0,13.6,846.91,13501389.97,837.17,90.85,370484098.0,272201.0,1361.0
